dataset,optimizer,seed,lr,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_s
cifar10,adam,0,0.001,1,1.5469541767044286,0.42098468660968663,1.4832201522827149,0.4744,5.676360630001
cifar10,adam,0,0.001,2,1.2336279839871616,0.5533520299145299,1.1831110370635987,0.5752,6.3632940980005515
cifar10,adam,0,0.001,3,1.1160788575128953,0.5953525641025641,1.168031356048584,0.5704,5.909832258999813
cifar10,adam,0,0.001,4,1.0403779087922511,0.6246883903133903,1.0539021215438842,0.6188,4.99138144599965
cifar10,adam,0,0.001,5,0.9794939778469227,0.6485710470085471,1.011632102394104,0.6288,4.468841645999419
cifar10,adam,0,0.001,6,0.9364219533751833,0.6647747507122507,1.0149719732284546,0.6478,4.660918292000133
cifar10,adam,0,0.001,7,0.8969598305531037,0.6793981481481481,1.0962230693817139,0.6146,5.759734346000187
cifar10,adam,0,0.001,8,0.8639006794687689,0.6911502849002849,0.8621521839141846,0.6988,5.706811906000439
cifar10,adam,0,0.001,9,0.8347127400232516,0.7044159544159544,0.8895778865814209,0.6946,5.915391681000983
cifar10,adam,0,0.001,10,0.8111434940598968,0.7119391025641025,0.8223572628021241,0.7144,6.250829733000501
cifar10,adam,0,0.001,11,0.7866194034234072,0.7241809116809117,0.8205689167022705,0.7118,7.642198507001012
cifar10,adam,0,0.001,12,0.7668849698498718,0.7306356837606838,0.7627681994438171,0.7386,8.11081560799903
cifar10,adam,0,0.001,13,0.7420920225290152,0.7387152777777778,0.909599411201477,0.6852,6.666814031001195
cifar10,adam,0,0.001,14,0.7340796413245024,0.7412526709401709,0.7986253105163574,0.7216,7.462190890000784
cifar10,adam,0,0.001,15,0.7150245333499039,0.7491319444444444,0.9319090009689331,0.6902,6.668429442999695
cifar10,adam,0,0.001,16,0.6960158539973094,0.7567886396011396,0.7425914283752442,0.7412,6.536818295999183
cifar10,adam,0,0.001,17,0.6894234250753354,0.7594818376068376,0.7065359306335449,0.7504,4.690798003000964
cifar10,adam,0,0.001,18,0.6700211371961142,0.7661146723646723,0.7279195820808411,0.7492,4.496943176000059
cifar10,adam,0,0.001,19,0.6640866583059316,0.7672720797720798,0.7322688414573669,0.7446,4.237129785000434
cifar10,adam,0,0.001,20,0.6582417843858062,0.7692307692307693,0.7104658895492554,0.7524,4.306241995000164
cifar10,adam,0,0.001,21,0.6404786552289272,0.7749732905982906,0.7874876319885253,0.7278,5.672205742001097
cifar10,adam,0,0.001,22,0.625733024629093,0.7799145299145299,0.6836027051925659,0.766,7.655795668999417
cifar10,adam,0,0.001,23,0.6200563327709154,0.7832309472934473,0.6752974529266358,0.7704,5.2270947199995135
cifar10,adam,0,0.001,24,0.6123332360021749,0.7848335113960114,0.6949465383529663,0.7614,4.967382978000387
cifar10,adam,0,0.001,25,0.6065258798945663,0.7877270299145299,0.6753000644683838,0.762,5.042481902999498
cifar10,adam,0,0.001,26,0.5955740845101511,0.7915776353276354,0.6515607578277588,0.7732,5.5587626160013315
cifar10,adam,0,0.001,27,0.5818827298292067,0.7974314458689459,0.6891161155700684,0.759,5.837296095000056
cifar10,adam,0,0.001,28,0.5817103239885423,0.7979211182336182,0.7126906246185303,0.7526,5.052252198000133
cifar10,adam,0,0.001,29,0.5771735058381007,0.7989672364672364,0.6151553541183472,0.7868,4.476817466000284
cifar10,adam,0,0.001,30,0.5670220165001361,0.8023949430199431,0.6815618065834046,0.763,5.7516444839984615
cifar10,adam,1,0.001,1,1.5794766299065701,0.4094996438746439,1.3436690690994262,0.508,4.980140521000067
cifar10,adam,1,0.001,2,1.2626914246129854,0.54338051994302,1.5361752210617066,0.4502,4.762249679000888
cifar10,adam,1,0.001,3,1.1350251229060682,0.5909455128205128,1.2822394973754883,0.5542,5.4593524129995785
cifar10,adam,1,0.001,4,1.050922206154576,0.62068198005698,1.2846258514404296,0.5494,5.134624432999772
cifar10,adam,1,0.001,5,0.9960247128777354,0.643051103988604,1.1189431385040283,0.5962,7.5427484109986835
cifar10,adam,1,0.001,6,0.9444394150690475,0.6647747507122507,0.9830707801818848,0.6434,6.251270134000151
cifar10,adam,1,0.001,7,0.9049726065747079,0.6782629985754985,0.9265719926834106,0.6718,7.285595130999354
cifar10,adam,1,0.001,8,0.8650391439766626,0.6956463675213675,0.9771094152450561,0.655,5.240978447000089
cifar10,adam,1,0.001,9,0.8353843478395728,0.7028801638176638,0.8716380289077759,0.6902,6.280278494999948
cifar10,adam,1,0.001,10,0.8111289673381381,0.7146768162393162,0.7881135313987732,0.7178,7.602767684000355
cifar10,adam,1,0.001,11,0.7843462960672515,0.7256944444444444,0.8366144580841064,0.7094,6.824712298999657
cifar10,adam,1,0.001,12,0.7676535036489155,0.7288995726495726,0.8406552839279174,0.7122,6.655770814000789
cifar10,adam,1,0.001,13,0.7466340335006387,0.7367120726495726,0.7854132234573364,0.724,5.1105828689997
cifar10,adam,1,0.001,14,0.7250568280023048,0.7452145655270656,0.8434369357109069,0.7068,4.9436610320008185
cifar10,adam,1,0.001,15,0.7130922270975901,0.7498887108262108,0.7127143197059631,0.7504,4.820595691999188
cifar10,adam,1,0.001,16,0.6958901295464942,0.7571892806267806,0.7584105821609497,0.7348,4.445338244000595
cifar10,adam,1,0.001,17,0.6783534323218202,0.7637553418803419,0.6962820528507233,0.745,5.025761683000383
cifar10,adam,1,0.001,18,0.6730624622429199,0.7649795227920227,0.7218638251781464,0.741,5.302711516000272
cifar10,adam,1,0.001,19,0.6583826861999653,0.7694533475783476,0.7218381241798401,0.7432,6.759144958001343
