dataset,optimizer,seed,lr,n_params,test_loss,test_acc,mean_epoch_time_s
cifar10,adam,0,0.001,129066,0.725379739189148,0.753,5.725450321400179
cifar10,adam,1,0.001,129066,0.6959411284446716,0.7582,5.882399634300055
cifar10,adam,2,0.001,129066,0.6370500886917114,0.7801,6.021610083033193
cifar10,adam,3,0.001,129066,0.63077668633461,0.7813,6.3473008836668665
cifar10,adam,4,0.001,129066,0.6754019153118134,0.7648,5.673543838833454
cifar10,sgd,0,0.01,129066,0.7181371781349182,0.7619,6.012918684299985
cifar10,sgd,1,0.01,129066,0.6478215517997742,0.7716,4.4917780845332045
cifar10,sgd,2,0.01,129066,0.6320342666625977,0.78,4.499465893932999
cifar10,sgd,3,0.01,129066,0.6802369601249695,0.7646,5.04428960586653
cifar10,sgd,4,0.01,129066,0.6740488223075867,0.7656,4.885476484700242
cifar10,gradhd,0,0.001,129066,0.7554063126564026,0.7448,5.414045449333389
cifar10,gradhd,1,0.001,129066,0.701444734954834,0.7574,5.3853389476002125
cifar10,gradhd,2,0.001,129066,0.6454666009426117,0.7721,5.3910310468664955
cifar10,gradhd,3,0.001,129066,0.6357353617668152,0.7803,5.398673084333374
cifar10,gradhd,4,0.001,129066,0.6572910165786743,0.7758,5.395491168433546
