function,method,Ef,Pnear
styblinski_tang,grad-QHD,-23.056300,0.105500
styblinski_tang,std-QHD,-19.022900,0.025400
styblinski_tang,Adam,-25.836576,0.260000
styblinski_tang,SGDM,-26.147584,0.292000
styblinski_tang,GradHD,-25.836576,0.260000
michalewicz,grad-QHD,-1.299100,0.902500
michalewicz,std-QHD,-1.029000,0.711100
michalewicz,Adam,-1.133350,0.841000
michalewicz,SGDM,-0.718280,0.594000
michalewicz,GradHD,-1.039854,0.802000
cube_wave,grad-QHD,0.061400,0.983200
cube_wave,std-QHD,0.099100,0.955500
cube_wave,Adam,1.002526,0.280000
cube_wave,SGDM,0.563475,0.549000
cube_wave,GradHD,1.002526,0.280000
rastrigin,grad-QHD,2.675300,0.152600
rastrigin,std-QHD,3.398000,0.122800
rastrigin,Adam,6.313997,0.150000
rastrigin,SGDM,87.289245,0.000000
rastrigin,GradHD,17.934007,0.059000
