dataset,optimizer,seed,lr,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_s
mnist,adam,0,0.001,1,1.039080558296054,0.6591634501187649,0.5019446093241374,0.8568333333333333,6.035441123000055
mnist,adam,0,0.001,2,0.35492947265824343,0.9032437648456056,0.3507817181746165,0.8795,4.461574427999949
mnist,adam,0,0.001,3,0.2279329682897219,0.9367206057007126,0.22724911669890085,0.9308333333333333,5.270335281000371
mnist,adam,0,0.001,4,0.1797858256129924,0.9487641033254157,0.2867445076306661,0.9136666666666666,5.254659378999349
mnist,adam,0,0.001,5,0.1542303563491607,0.9557415380047506,0.24958200319608054,0.9253333333333333,4.216475930999877
mnist,adam,1,0.001,1,1.0819425613325169,0.6368208135391924,0.5352347090244293,0.8535,3.6682542950002244
mnist,adam,1,0.001,2,0.40695231791913083,0.8853362529691211,0.4347816118399302,0.8525,4.81320147400038
mnist,adam,1,0.001,3,0.24803139577285693,0.9309308194774347,0.23257931196689605,0.9291666666666667,4.9130017640000005
mnist,adam,1,0.001,4,0.18918905313394416,0.9471496437054632,0.16312837493419646,0.9511666666666667,4.844356019999395
mnist,adam,1,0.001,5,0.1658705159614743,0.9524755047505938,0.18013219447930653,0.945,3.3624795249997987
mnist,adam,2,0.001,1,1.0400298459371309,0.6573263064133017,0.4780485088825226,0.8718333333333333,3.184145997000087
mnist,adam,2,0.001,2,0.3589623234900613,0.9008684679334917,0.6108967814445495,0.7943333333333333,3.262161519000074
mnist,adam,2,0.001,3,0.22597054967262967,0.936312351543943,0.3379351300398509,0.8863333333333333,3.689831214998776
mnist,adam,2,0.001,4,0.17891309114788037,0.9489311163895487,0.16568201740582783,0.9515,5.192504241000279
mnist,adam,2,0.001,5,0.1530400688567524,0.9550920427553444,0.5649938430786133,0.8056666666666666,4.839514595001674
mnist,adam,3,0.001,1,1.0467845892396506,0.6515179631828979,0.600316446463267,0.8021666666666667,5.295081649999702
mnist,adam,3,0.001,2,0.38459345963816743,0.889771377672209,0.2781278738975525,0.9203333333333333,5.191654366000876
mnist,adam,3,0.001,3,0.2445374307114268,0.9328793052256532,0.2380237867832184,0.9275,4.981259547001173
mnist,adam,3,0.001,4,0.18504510264215446,0.9480032660332541,0.2883431384563446,0.9103333333333333,4.1235756920013955
mnist,adam,3,0.001,5,0.15856234663809846,0.9544982185273159,0.17350336937109628,0.9478333333333333,5.213045128999511
mnist,adam,4,0.001,1,1.0821771160157445,0.6334434382422803,0.5686653887430827,0.8141666666666667,4.562270217998957
mnist,adam,4,0.001,2,0.39367144075255495,0.887396080760095,0.2763599992593129,0.9231666666666667,4.655480637999062
mnist,adam,4,0.001,3,0.24826062920186978,0.9295390439429929,0.18268826385339101,0.9478333333333333,4.651285769999959
mnist,adam,4,0.001,4,0.19738701497361666,0.9441805225653207,0.28650203156471254,0.9073333333333333,3.79127031400094
mnist,adam,4,0.001,5,0.16664269288687694,0.9511765142517815,0.30784186991055806,0.9046666666666666,5.35098244099936
mnist,sgd,0,0.01,1,1.416616779466706,0.49832986935866985,0.825954001903534,0.7351666666666666,4.820503400000234
mnist,sgd,0,0.01,2,0.5611495033012717,0.8331725059382423,0.3886810965538025,0.8916666666666667,4.774936052999692
mnist,sgd,0,0.01,3,0.2962138487508348,0.9178481294536817,0.3688149425983429,0.8781666666666667,4.5015346509990195
mnist,sgd,0,0.01,4,0.21245387373514243,0.9405804631828979,0.2586605556805929,0.9201666666666667,6.658219557000848
mnist,sgd,0,0.01,5,0.17517007550229086,0.9496177256532067,0.1382961452404658,0.9578333333333333,4.129217494999466
mnist,sgd,1,0.01,1,1.4706430837264253,0.47589444774346795,1.093734780629476,0.6203333333333333,5.260603102000459
mnist,sgd,1,0.01,2,0.6441337044335318,0.8019596199524941,0.5894560356140137,0.8035,4.615589562999958
mnist,sgd,1,0.01,3,0.33015184263718667,0.9071221793349169,0.4021286486784617,0.8751666666666666,4.672281712000768
mnist,sgd,1,0.01,4,0.22574386575796826,0.9350319180522565,0.29030481255054474,0.9076666666666666,4.427677859999676
mnist,sgd,1,0.01,5,0.18813528446148806,0.9457949821852731,0.21335589691003162,0.9351666666666667,4.9025492040000245
mnist,sgd,2,0.01,1,1.4245417687219,0.4978288301662708,0.8547403648694356,0.7061666666666667,5.734193467000296
mnist,sgd,2,0.01,2,0.5737239456516546,0.8312240201900237,0.4739788421789805,0.8535,4.467352793999453
mnist,sgd,2,0.01,3,0.3019365372397271,0.9158068586698337,0.4238814328511556,0.8646666666666667,3.8643380379999144
mnist,sgd,2,0.01,4,0.2136552269590439,0.9390402315914489,0.21402169215679168,0.9378333333333333,3.6560192739998456
mnist,sgd,2,0.01,5,0.17842372577646282,0.9479104809976246,0.3195289469162623,0.8983333333333333,4.046779546000835
mnist,sgd,3,0.01,1,1.4366082278679781,0.48884723871733965,1.01124573802948,0.6441666666666667,3.8490285179996135
mnist,sgd,3,0.01,2,0.5882259254076135,0.8238383313539193,0.47234046904246013,0.849,5.324015178000991
mnist,sgd,3,0.01,3,0.3140644710378239,0.9124109263657957,0.32191556799411775,0.897,4.213874548000604
mnist,sgd,3,0.01,4,0.21963679323287022,0.9388361045130641,0.18213122216860453,0.9475,4.265832675000638
mnist,sgd,3,0.01,5,0.17834217501295435,0.9491352434679335,0.20129934946695963,0.9395,4.1604348520013446
mnist,sgd,4,0.01,1,1.4348311427086946,0.48528429334916867,1.029254488627116,0.6308333333333334,5.2058015069997055
mnist,sgd,4,0.01,2,0.6161894821639299,0.81114533847981,0.4466560443242391,0.8813333333333333,4.224681367000812
mnist,sgd,4,0.01,3,0.31685431252041224,0.9101655285035629,0.23377244118849436,0.9328333333333333,4.2829995100000815
mnist,sgd,4,0.01,4,0.22629597968910767,0.9360339964370546,0.19224277047316232,0.9431666666666667,4.453438160000587
mnist,sgd,4,0.01,5,0.18274581984499572,0.9468341745843231,0.2865203676223755,0.9063333333333333,4.135105483999723
mnist,gradhd,0,0.001,1,1.0403892679622224,0.658792309976247,0.512086567401886,0.8448333333333333,4.269058157000472
mnist,gradhd,0,0.001,2,0.3549761662786194,0.9031695368171021,0.30530646403630574,0.9013333333333333,5.680207417999554
mnist,gradhd,0,0.001,3,0.22807032827314458,0.9368505047505938,0.26860136993726097,0.9186666666666666,4.579379098999198
mnist,gradhd,0,0.001,4,0.18003899225359007,0.9487641033254157,0.38572107632954916,0.8773333333333333,5.1097631979992
mnist,gradhd,0,0.001,5,0.15455900487487786,0.9554260688836105,0.23031726463635763,0.9293333333333333,4.739631403001113
mnist,gradhd,1,0.001,1,1.0816384837774653,0.6371548396674585,0.5245687324206034,0.8611666666666666,4.665511996001442
mnist,gradhd,1,0.001,2,0.40314044631716756,0.8853919239904988,0.4259305843512217,0.853,4.400928879000276
mnist,gradhd,1,0.001,3,0.24572414101373555,0.9314133016627079,0.20063571504751843,0.939,5.458058672000334
mnist,gradhd,1,0.001,4,0.1888803314249476,0.9469640736342043,0.15235975468158722,0.9548333333333333,4.697798052999133
mnist,gradhd,1,0.001,5,0.16480960383692717,0.9528466448931117,0.18934523955980936,0.9411666666666667,4.0334420790004515
mnist,gradhd,2,0.001,1,1.0426064738185274,0.6557675178147269,0.4799645861784617,0.8713333333333333,3.9085801000001084
mnist,gradhd,2,0.001,2,0.3615290198006143,0.8999962885985748,0.5376112367312114,0.8255,5.43677334199856
mnist,gradhd,2,0.001,3,0.22696422114791326,0.9361824524940617,0.3646979110240936,0.8795,4.060256830998696
mnist,gradhd,2,0.001,4,0.177829025653932,0.9498589667458432,0.15587852370738983,0.9556666666666667,4.159822592000637
mnist,gradhd,2,0.001,5,0.15243608831934577,0.9550734857482185,0.3267741893927256,0.8901666666666667,5.25632479900014
mnist,gradhd,3,0.001,1,1.0460945149781868,0.6523901425178147,0.663047873655955,0.7746666666666666,4.566834586999903
mnist,gradhd,3,0.001,2,0.3855923538819628,0.8897157066508313,0.3033784763813019,0.9093333333333333,5.8782255119986075
