dataset,optimizer,seed,lr,n_params,test_loss,test_acc,mean_epoch_time_s
mnist,adam,0,0.001,38122,0.23336455731391906,0.9279,5.047697228399921
mnist,adam,1,0.001,38122,0.16457244204282762,0.9507,4.320258615599959
mnist,adam,2,0.001,38122,0.5124086475849151,0.8236,4.033631513400178
mnist,adam,3,0.001,38122,0.15939032400250436,0.9521,4.960923276800531
mnist,adam,4,0.001,38122,0.296645073223114,0.9041,4.602257876199656
mnist,sgd,0,0.01,38122,0.13242053463459014,0.96,4.976882231199852
mnist,sgd,1,0.01,38122,0.20525850111246108,0.9387,4.775740288200177
mnist,sgd,2,0.01,38122,0.28872093567848206,0.9092,4.353736623800069
mnist,sgd,3,0.01,38122,0.1793196197271347,0.9422,4.362637154200638
mnist,sgd,4,0.01,38122,0.28066745648384095,0.9097,4.460405205600182
mnist,gradhd,0,0.001,38122,0.21625371956825257,0.9331,4.875607854999908
mnist,gradhd,1,0.001,38122,0.18005905348062515,0.9451,4.651147935800327
mnist,gradhd,2,0.001,38122,0.2849236028671265,0.9045,4.564351532799629
mnist,gradhd,3,0.001,38122,0.16412047652006148,0.9511,5.766797002999374
mnist,gradhd,4,0.001,38122,0.30273016777038575,0.9012,4.454132168000797
